,dia_no,turn_no,context,response,dia
13,2,3,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?",user: How about booking the Autumn House starting on Wednesday for 8 people for 2 nights?,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: How about booking the Autumn House starting on Wednesday for 8 people for 2 nights?"
14,2,4,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: Could you try Wednesday, instead?
system: Booking was successful. Reference number is : 3H0WHD4Z.",user: Thank you for booking Autumn House for 8 people for 2 nights starting on Wednesday. Can you confirm the reference number for my booking?,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: Could you try Wednesday, instead?
system: Booking was successful. Reference number is : 3H0WHD4Z.
user: Thank you for booking Autumn House for 8 people for 2 nights starting on Wednesday. Can you confirm the reference number for my booking?"
15,3,0,,"user: Hello, I am looking for a hotel in the centre that has free parking and is a 3-star hotel. I would like to book a room for 6 people for 4 nights starting from Saturday. If that's not available, I'm open to booking for 2 nights. Can you help me with this?","user: Hello, I am looking for a hotel in the centre that has free parking and is a 3-star hotel. I would like to book a room for 6 people for 4 nights starting from Saturday. If that's not available, I'm open to booking for 2 nights. Can you help me with this?"
16,3,1,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? ","user: I would prefer a moderate hotel with 3 stars that offers free parking. Could you check if any of the options have availability for 6 people for 4 nights starting from this Saturday? And if not, then for 2 nights.","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: I would prefer a moderate hotel with 3 stars that offers free parking. Could you check if any of the options have availability for 6 people for 4 nights starting from this Saturday? And if not, then for 2 nights."
17,3,2,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? ","user: I would like to book a room at the Gonville hotel for 6 people for 4 nights starting from Saturday. If that's not available, how about booking for 2 nights? Can you provide me with the reference number?","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: I would like to book a room at the Gonville hotel for 6 people for 4 nights starting from Saturday. If that's not available, how about booking for 2 nights? Can you provide me with the reference number?"
18,3,3,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?",user: How about booking for 2 nights instead starting from Saturday?,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: How about booking for 2 nights instead starting from Saturday?"
19,3,4,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: Yes, what about 2 nights instead of 4?
system: Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?","user: Yes, I would like to know the total cost for the 2-night stay at the Gonville Hotel for 6 people starting from Saturday.","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: Yes, what about 2 nights instead of 4?
system: Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?
user: Yes, I would like to know the total cost for the 2-night stay at the Gonville Hotel for 6 people starting from Saturday."
20,4,0,,"user: Hi, I'm looking for a hotel to stay in the north with 4 stars. It doesn't need to have internet access. If there are no such hotels, then it's okay if it has free wifi. Can you help me find one for 6 people for 4 nights starting from Thursday?","user: Hi, I'm looking for a hotel to stay in the north with 4 stars. It doesn't need to have internet access. If there are no such hotels, then it's okay if it has free wifi. Can you help me find one for 6 people for 4 nights starting from Thursday?"
21,4,1,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? ","user: Yes, I would need free parking.","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Yes, I would need free parking."
22,4,2,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.",user: Can you provide more details about Acorn Guest House?,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: Can you provide more details about Acorn Guest House?"
23,4,3,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,",user: I would like to book Acorn Guest House for 6 people for 4 nights starting from Thursday. Can you provide me with the reference number?,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: I would like to book Acorn Guest House for 6 people for 4 nights starting from Thursday. Can you provide me with the reference number?"
24,4,4,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?","user: Yes, please go ahead and make a reservation for 6 people at the Acorn Guest House for 4 nights starting from Thursday. Can you provide me with the reference number?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please go ahead and make a reservation for 6 people at the Acorn Guest House for 4 nights starting from Thursday. Can you provide me with the reference number?"
25,4,5,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.","user: I'm glad to confirm the booking for 6 people at Acorn Guest House starting from Thursday for 4 nights. Could you provide me with the reference number, please?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: I'm glad to confirm the booking for 6 people at Acorn Guest House starting from Thursday for 4 nights. Could you provide me with the reference number, please?"
26,4,6,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: OK, can you please pay attention to my questions? I need a room, please.
system: Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?",user: Can you confirm the total cost for the reservation at the Acorn Guest House for 6 people staying for 4 nights starting from Thursday?,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: OK, can you please pay attention to my questions? I need a room, please.
system: Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?
user: Can you confirm the total cost for the reservation at the Acorn Guest House for 6 people staying for 4 nights starting from Thursday?"
27,5,0,,user: Can you help me find a hotel called the cambridge belfry? I want to book it for 4 people and 2 nights starting from Saturday.,user: Can you help me find a hotel called the cambridge belfry? I want to book it for 4 people and 2 nights starting from Saturday.
28,5,1,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.",user: I'd like to book a room at the Cambridge Belfry for 4 people for 2 nights starting from this Saturday. Can you provide me with the reference number?,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: I'd like to book a room at the Cambridge Belfry for 4 people for 2 nights starting from this Saturday. Can you provide me with the reference number?"
29,5,2,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?","user: I would like to book the Cambridge Belfry for 4 people for 2 nights starting from this Saturday, please.","user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to book the Cambridge Belfry for 4 people for 2 nights starting from this Saturday, please."
30,5,3,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to check in on Saturday for 2 nights.  There will be 4 of us.
system: Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?","user: Yes, is breakfast included in the reservation for all four of us at the Cambridge Belfry?","user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to check in on Saturday for 2 nights.  There will be 4 of us.
system: Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?
user: Yes, is breakfast included in the reservation for all four of us at the Cambridge Belfry?"
31,6,0,,"user: Hello, I'm looking for a specific hotel called Worth House. Can you provide me with the postcode for it?","user: Hello, I'm looking for a specific hotel called Worth House. Can you provide me with the postcode for it?"
32,6,1,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.",user: What activities or amenities does Worth House provide for their guests?,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: What activities or amenities does Worth House provide for their guests?"
33,6,2,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Thank you so much!
system: You're welcome. Can I make a reservation for you?","user: No, thank you. I just need to know the postcode of Worth House hotel.","user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Thank you so much!
system: You're welcome. Can I make a reservation for you?
user: No, thank you. I just need to know the postcode of Worth House hotel."
34,7,0,,"user: Hello, I'm looking for a particular hotel called rosa's bed and breakfast. I want to book it for 7 people and 3 nights starting from Saturday. If the booking fails, I'd be interested in a different hotel in the same price range. Can you help me with this?","user: Hello, I'm looking for a particular hotel called rosa's bed and breakfast. I want to book it for 7 people and 3 nights starting from Saturday. If the booking fails, I'd be interested in a different hotel in the same price range. Can you help me with this?"
35,7,1,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.","user: Can you please assist me with booking Rosa's bed and breakfast for 7 people for 3 nights starting from this Saturday? If that's not available, could you suggest a different hotel in the same price range? I would also like to receive a reference number for the booking.","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Can you please assist me with booking Rosa's bed and breakfast for 7 people for 3 nights starting from this Saturday? If that's not available, could you suggest a different hotel in the same price range? I would also like to receive a reference number for the booking."
36,7,2,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?","user: Sure, I'm open to trying a different hotel in the same price range. Do you have any recommendations?","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Sure, I'm open to trying a different hotel in the same price range. Do you have any recommendations?"
37,7,3,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?",user: How about booking a different hotel in the same price range but in a different area?,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: How about booking a different hotel in the same price range but in a different area?"
38,7,4,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Just please can you find a place in the same price range. I'll need a reference number please.
system: Alexander bed and breakfast was able to be booked, reference number is A36615HD.","user: Great, thank you for booking Alexander bed and breakfast. Just to confirm, the booking is for 7 people for 3 nights starting from Saturday, correct? And the reference number is A36615HD.","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Just please can you find a place in the same price range. I'll need a reference number please.
system: Alexander bed and breakfast was able to be booked, reference number is A36615HD.
user: Great, thank you for booking Alexander bed and breakfast. Just to confirm, the booking is for 7 people for 3 nights starting from Saturday, correct? And the reference number is A36615HD."
39,8,0,,user: I'm looking for a hotel in the center in the expensive price range.,user: I'm looking for a hotel in the center in the expensive price range.
40,8,1,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?",user: I would prefer the 4-star hotel in the town centre.,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: I would prefer the 4-star hotel in the town centre."
41,8,2,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?",user: That sounds perfect! I'd like to book the Gonville Hotel for 5 people for 3 nights starting from this Saturday. Can you assist me with making the reservation and provide me with the reference number?,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?
user: That sounds perfect! I'd like to book the Gonville Hotel for 5 people for 3 nights starting from this Saturday. Can you assist me with making the reservation and provide me with the reference number?"
