,dia_no,new_dia_no,old_goal,new_goal,dia
10,10,10,You are looking for a place to stay. The hotel should have a star of 0 and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 5 nights starting from wednesday. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 0 and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 3 people and 5 nights starting from wednesday. Make sure you get the reference number,"user: I am looking for 0 star lodging with free parking included
system: We have two places. Would you like to stay in the north or the centre area?
user: I'm not picky about the area of town I stay, but I would like it to be a guesthouse.
system: Okay, there is one located in the north and one in the centre. 
user: Can you please recommend one and book it for 5 nights?
system: What dates are you interested in staying?
user: Starting from Wednesday, looking to stay for 5 nights. Is that available? 
system: Booking was successful. Reference number is : PQWL74M2
user: That would be it thank you very much.
system: Thank you, have a good day!"
11,11,11,You are looking for a particular hotel. Its name is called avalon. Once you find the hotel you want to book it for 8 people and 5 nights starting from thursday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called avalon. Once you find the hotel you want to book it for 8 people and 5 nights starting from thursday. Make sure you get the reference number,"user: I'm looking for the Avalon.
system: The Avalon is a 4-star, moderately priced guesthouse on the north side of town. They offer free parking and free internet.
user: Great. Would you please see if you can book a party of 8 for 5 nights beginning Thursday?
system: Booking was successful. You're reference number is TLLGQVMH.
user: Great, thanks.  
system: Is there anything else I can help you with? 
user: No, that's it. Thank you for your help!
system: You are very welcome! Enjoy your stay! Goodbye!"
12,12,12,You are looking for a particular hotel. Its name is called el shaddai. Once you find the hotel you want to book it for 5 people and 4 nights starting from tuesday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called el shaddai. Once you find the hotel you want to book it for 5 people and 4 nights starting from tuesday. Make sure you get the reference number,"user: I want to book the el shaddai hotel.
system: No problem. Just give me a date, how many days, and how many people to accommodate please!
user: I am looking to book it for 4 nights for 5 people starting Tuesday. 
system: I have made that booking for you. Your reference number is E31YXTP1.
user: That will be it. Thank you very much for your time.
system: Thank you, have a good day."
13,13,13,You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking. The hotel should be in the moderate price range. Once you find the hotel you want to book it for 3 people and 5 nights starting from saturday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking. The hotel should be in the moderate price range. Once you find the hotel you want to book it for 3 people and 5 nights starting from saturday. Make sure you get the reference number,"user: Hello. I am coming into town and would like help finding a play to stay. 
system: I can definitely help with that. Let me find out some more information so I can find you the perfect fit. What area of town would you like to stay?
user: I am looking for a guesthouse with free parking
system: We have 21 guesthouses with free parking. Do you need a certain area of town?
user: No, but I would like for it to be moderately priced. Could you recommend a place?
system: There are quite a number of them.  If you'd like a 4-star rated guesthouse at the south end of town, I could recommend the Aylesbray Lodge Guest House.
user: That will work fine. Could you make a reservation for 3? I'd like it for 5 nights starting Saturday. 
system: Sure.  Your reference number is PFGJJSBO.  Anything else?
user: No, that's all I need. Thank you!
system: Thank You for calling us today. Goodbye."
14,14,14,You are looking for a place to stay. The hotel should have a star of 4 and should be in the cheap price range. The hotel should be in the type of guesthouse and should include free wifi. Make sure you get area and address,You are looking for a place to stay. The hotel should have a star of 4 and should be in the cheap price range. The hotel should be in the type of guesthouse and should include free wifi. Make sure you get area and address,"user: Hello, I'm looking for a cheap place to stay with 4 stars.
system: Hi, i have many place to choose from. Is there a specific area of town you are looking to stay in? 
user: I would like a guesthouse type with free wifi please. Also the area and address please. 
system: I found the Leverton House which meets your requirements.  It is in the east at 732-734 newmarket road.  Do you need a reservation?
user: No, I'll wait on that for now. Thanks for all your help today. That's all I need. Goodbye.
system: Glad to have been of assistance. Have a good day. Goodbye."
15,15,15,"You are looking for a place to stay. The hotel doesn't need to include internet and should have a star of 4. The hotel should include free parking and should be in the south. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel doesn't need to include internet and should have a star of 4. The hotel should should be in the south. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: I don't want wifi, just somewhere with four stars. 
system: All of the 4 star hotels I have listed have wifi. Is that okay or would you like me to look for a hotel with a different star rating?
user: I guess it's OK if they have it, as long as they won't charge me for not using it. But 4-star accommodations are a must.
system: I have two 4-star hotels on the west side and one in city centre. Do you have a location preference?
user: Are there any in the South side of the city?
system: I have nothing in the south that matched your criteria, only west and centre. 
user: How about a place in any area with free wifi.
system: Okay I have the Cambridge Belfry which is a 4 star cheap hotel in the west part of the city. Would you like for me to book it for you?
user: Yes, please. 
system: For how many nights and how many people will be staying?
user: I need it for 7 people for 4 nights staring from Tuesday please.
system: I was unable to book that, would you like me to try something else?
user: Yes please and in the same price range.
system: Okay I was able to book you into the Marriott Hotel and your reference number is CQE0WWXH.
user: Thank you so much for your help.
system: Will you be needing anything else today?
user: Nope. You have been so helpful. Thank you!
system: Thank you for using our system!"
16,16,16,"You are looking for a place to stay. The hotel should have a star of 2 and should be in the moderate price range. The hotel should be in the centre and should include free parking. If there is no such hotel, how about one that is in the north. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. Make sure you get the reference number","You are looking for a place to stay. The hotel should be in the moderate price range. The hotel should be in the centre and should include free parking. If there is no such hotel, how about one that is in the north. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. Make sure you get the reference number","user: I am looking for a moderate priced place to stay.
system: Yes, let me help you with that. In what area of town would you like to stay?
user: I would like a place in the centre with free parking.
system: I do not have anything like that, perhaps another criteria for you?
user: Sure, let's try the north instead please
system: There are several options in the north, would you like me to recommend one?
user: Yes and book it for 3 people and 3 nights starting from wednesday.
system: Okay I have booked The Acorn Guest House for Wednesday for 3 people and for 3 days. Your reference number is F821XS1G. Is there anything else I can help with?
user: You've been great, that is all I needed. Thank you, goodbye! 
system: I hope you enjoy your stay in Cambridge!"
17,17,17,"You are looking for a place to stay. The hotel should be in the type of guesthouse and doesn't need to include internet. The hotel should be in the east and should have a star of 4. If there is no such hotel, how about one that has free wifi. Make sure you get whether they have free parking","You are looking for a place to stay. The hotel should be in the type of guesthouse and doesn't need to include internet. The hotel should be in the east and should have a star of 4. If there is no such hotel, how about one that has free wifi. Make sure you get whether they have free parking","user: I am looking for a place to stay. The hotel should be in the type of guesthouse and doesn't need to include internet
system: Alright, I've found several options. What price range are you looking for?
user: It doesn't matter 
system: Alpha-milton guest house doesn't offer internet. It is rated three stars, in the north part of town. Should I book this?
user: No, I need a guesthouse with free wifi.
system: a and b guest house is a guesthouse that includes wifi. It's in the East side of town with a moderate price range. Should I book it for you?
user: No, I just need to know if they have free parking.
system: They do not have parking.
user: Ok, I would prefer something else with parking.
system: Allenbell looks like it would be a good choice.
user: Thanks, does it have free wifi as well?
system: Yes, they provide both internet and parking at their establishment.
user: Thanks, that's all I need. Good bye.
system: Good bye, enjoy your stay."
18,18,18,"You are looking for a place to stay. The hotel should have a star of 4 and doesn't need to include internet. The hotel should include free parking. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 4 and doesn't need to include internet. The hotel should include free parking. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: Yes, I'm searching for a 4 star rated places to stay in town. It does not need to have any internet connection.
system: There are no 4 star hotels without internet. There are 21 four star hotels with internet. What area or price range are you looking for?
user: Do any of them include free parking?
system: Yes,a lot of them have free parking. What price range are you looking for?
user: Price range does not matter. 
system: In what area would you prefer?
user: North part of town.Cheap would be better.
system: I only am coming up with worth house. Would you like me to book that for you?
user: Yes, can you book it for 7 people for 4 nights on Thursday?
system: I'm sorry, I was unable to book that one. I have several guesthouses in the moderate price range, would you like me to try one of those?
user: Yes let's try another hotel in the same price range.
system: I booked you at Acorn Guest House.  Your reference number is VMYBAGS7.  Is there anything else I can help you with?
user: No that will be all. Thanks.
system: Great, enjoy your stay! Please contact me again if you need anything else."
19,19,19,You are looking for a place to stay. The hotel should include free wifi and should be in the type of hotel. The hotel should include free parking. Make sure you get area and address,You are looking for a place to stay. The hotel should include free wifi and should be in the type of hotel. The hotel should include free parking. Make sure you get area and address,"user: Are there any hotels where the wifi doesn't cost extra?
system: Yes of course we can arrange a hostel that does not charge for wifi as extra. Do you have a brand in mind?
user: no, it just needs to include parking and wifi
system: which offers wifi for free?
user: I would appreciate it if you could tell me which hotel includes free wifi and free parking. Thanks.
system: Actually there are 29 options to choose from, sir. What price range are you looking for?
user: any price range. be a hotel, has free parkin. get me the address too
system: How about the Ashley hotel. The address is 74 chesterton road.
user: that would be great. What's the area?
system: The Ashley Hotel is in the north. Would you like me to book accommodation for you?
user: No, thank you. That is all the information I needed today.
system: Thank you for contacting Cambridge TownInfo centre, and hope you enjoy your stay.  Have a nice day."
20,20,20,"You are looking for a place to stay. The hotel doesn't need to include internet and should have a star of 4. The hotel should include free parking and should be in the expensive price range. If there is no such hotel, how about one that has free wifi. Make sure you get area, hotel type, and phone number","You are looking for a place to stay. The hotel doesn't need to include internet and should have a star of 4. The hotel should include free parking and should be in the expensive price range. If there is no such hotel, how about one that has free wifi. Make sure you get area, hotel type, and phone number","user: I am looking for a place to stay. The hotel doesn't need to include internet and should have a star of 4
system: We don't have any hotels that have no internet with 4 stars
user: Are there any that include free parking and that are in the expensive price range?
system: Sorry, my search didn't bring back any results.
user: Try changing from no internet to free wifi and see what happens.
system: There are two hotels that fir your description in the expensive price range. One is in the west and one is in the centre. Which would you prefer?
user: I need one with wifi.
system: Acorn house has free wifi. Is that okay?
user: Yes, please just forward me the area, hotel type and their phone number.
system: I'm terribly sorry, I misspoke. There are two 4-star hotels in the expensive range with wi-fi--the Huntington Marriott in the west and the University Arms in the centre of town.
user: The Huntington Marriott in the west would be great. What is the hotel type and phone number?
system: Sure, it is a hotel and the phone number is 01480446000. Is there anything else I can help you with?
user: thanks for helping
system: Do you need me to book you a reservation?
user: No, I think I will wait on booking at this time.  Thank you for your assistance.
system: No problem, thank you for using Cambridge TownInfo centre. Have a great day!"
21,21,21,You are looking for a place to stay. The hotel should have a star of 4 and should include free parking. The hotel should be in the cheap price range. Once you find the hotel you want to book it for 7 people and 4 nights starting from thursday. If the booking fails how about 2 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 4 and should include free parking. The hotel should be in the cheap price range. Once you find the hotel you want to book it for 7 people and 4 nights starting from thursday. If the booking fails how about 2 nights. Make sure you get the reference number,"user: I am looking for a place to stay. The hotel should have a star of 4 and should include free parking
system: I have found 19 possible choices. Do you have a specific area in mind?
user: No, it just needs to be cheap.
system: how about leverton house? it looks lovely.
user: Sounds good. Can I get it for 7 people and 4 nights from thursday please?
system:  book another day or a shorter stay please
user: Ok, try for 2 nights.
system: Wonderful. Your booking was succesful. The reference number is 3HW0O0HD.
user: Thank you so much for all of your help!
system: You're welcome. May I help with something else, like a restaurant or attraction?
user: No that was all I needed. Thanks again.
system: You're most welcome. Goodbye."
22,22,22,You are looking for a place to stay. The hotel should include free parking and should be in the type of hotel. The hotel should include free wifi. Once you find the hotel you want to book it for 5 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free parking and should be in the type of hotel. The hotel should include free wifi. Once you find the hotel you want to book it for 5 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm looking for a place to stay. I need to find free parking and I only want to stay in a hotel and not any thing else other than that. 
system: Huntingdon marriott hotel has parking and is a highly rated hotel.
user: The hotel should include free wifi.
system: Yes, the Huntingdon Marriott also has free wifi. Would like for me to book a reservation for you?
user: Yes, please book it for 5 people and 4 nights starting from monday.
system: I'm sorry, the huntingdon marriott hotel is not available. Would you like to try another.  The university arms hotel is a nice hotel in the city centre. 
user: Is it in the same price range?
system: Its listed as expensive.
user: And what were the Marriott prices like?
system: Expensive price. What type would you prefer?
user: Expensive price is fine.
system: I was able to book a reservation. Your reference number is 1JALPC7V. Is there anything else I can do for you?
user: That was all I needed today, thank you!
system: Great. Glad I could be of help. Enjoy your stay."
23,23,23,You are looking for a particular hotel. Its name is called lovell lodge. Make sure you get postcode,You are looking for a particular hotel. Its name is called lovell lodge. Make sure you get postcode,"user: Do you have information about the Lovell Lodge?
system: I do. It's a moderately priced 2 star hotel.
user: What is the postcode for the Lovell Lodge, please? I want to determine the location.
system: The postcode is cb41sr. Is there anything else I can help you with today?
user: No that'll do it. Thanks so much for your help.
system: Alright. Enjoy the remainder of your stay!"
24,24,24,You are looking for a place to stay. The hotel should be in the cheap price range and should include free parking. The hotel should include free wifi. Once you find the hotel you want to book it for 2 people and 5 nights starting from thursday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the cheap price range and should include free parking. The hotel should include free wifi. Once you find the hotel you want to book it for 2 people and 5 nights starting from thursday. Make sure you get the reference number,"user: I need a cheap place to stay
system: There are many cheap places. In which area would you like to search for a place to stay?
user: It  should include free parking.The hotel should include free wifi. 
system: There are 10 cheap hotels what area would you like?
user: Whichever is the cheapest for 2 people, 5 nights starting Thursday. Please book it, and I will need a reference number. Thanks.
system: Alright, you are booked at the Alexander Bed and Breakfast.  Reference number is UK8T46J8.
user: Thank you, I just want to confirm that this hotel includes free parking and wifi
system: Yes it includes both.
user: Thanks, that will be all. good bye.
system: Enjoy your stay. Goodbye!"
25,25,25,You are looking for a place to stay. The hotel should include free wifi and should have a star of 4. The hotel should be in the east. Once you find the hotel you want to book it for 2 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free wifi and should have a star of 4. The hotel should be in the east. Once you find the hotel you want to book it for 2 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: Yes I am looking for a place to stay that has free wifi and is ranked by 4 stars.
system: Are you looking for a hotel or a guesthouse?
user: I'd like a hotel in the east part of the city.
system: I do not see a hotel in the east part of the city. Do you have any recommendations?
user: That;s too bad...so what do you have? Other part of town?
system: i have 2 hotels in the west and 1 in the centre.  Would you like to book one of these?
user: Lets go for the one in the Centre please. Can you make is for 2 people for 4 nights starting Monday. Oh and can I get the reference number?
system: I'm sorry, the booking was unsuccessful. Would you like to try a different hotel?
user: Yes as long as it's in the same price range that will be fine. I need the reference number too.
system: What price range are you looking for?
user: In the same price range as the other hotels.
system: I was able to book Gonville Hotel, reference number is SHEWP52T
user: Wonderful-thanks. Can you send me the address and phone number of the establishment?
system: It's address is gonville place and its phone number is 01223366611.
user: Okay great. That is all I need. Thank you.
system: So glad I was able to help. Have a great day. Good-Bye."
26,26,26,You are looking for a place to stay. The hotel doesn't need to have free parking and should be in the type of guesthouse. The hotel should be in the east and should have a star of 4. Once you find the hotel you want to book it for 5 people and 2 nights starting from saturday. Make sure you get the reference number,You are looking for a place to stay. The hotel doesn't need to have free parking and should be in the type of guesthouse. The hotel should be in the east and should have a star of 4. Once you find the hotel you want to book it for 5 people and 2 nights starting from saturday. Make sure you get the reference number,"user: I'm looking for a guesthouse to stay in. I don't care about parking, though.
system: There are 24 places available, Acorn Guest House has good ratings
user: I ant a place with a rating of at least 4 stars, a guesthouse, in the east, and I don't need free parking.
system: Okay, how about the a and b guest house?  If fits everything you need.
user: Perfect! Let's book it for two nights starting Saturday. There are five people in my party. I will also need the reference number.
system: Sorry, that booking is unavailable. Perhaps another day or a shorter stay would work for you?
user: Can you suggest another place, is there a hotel with 4 stars in that area? 
system: I'm sorry but there are no 4 star hotels in the east, but there are quite a few 4 star guesthouses. Would one of those interest you? 
user: Yes. I want to book one for 5 people and 2 nights starting from saturday.
system: Actually the A & B Guesthouse just opened up for Saturday.  Your reference number is GM77DLR6.  Can I further assist you?
user: That's it for now, thank you so much.
system: You're welcome, Thank you, goodbye."
27,27,27,You are looking for a place to stay. The hotel should be in the moderate price range and should be in the type of guesthouse. The hotel should include free wifi and should be in the west. Once you find the hotel you want to book it for 7 people and 2 nights starting from sunday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the moderate price range and should be in the type of guesthouse. The hotel should include free wifi and should be in the west. Once you find the hotel you want to book it for 7 people and 2 nights starting from sunday. Make sure you get the reference number,"user: I'm looking for a moderately priced guesthouse for the night.
system: For that price range, I have several guesthouses. Do you have a preference on the area of town you stay in? 
user: Yes, I'd really like to stay on the west end of the city. Anything available there?
system: How about Hobsons House? It is a moderately priced guesthouse in the west end.
user: Does that place have free wifi? 
system: Yes the place provides free wifi.
user: Thank you, can you book me for 7 people and two nights, beginning on Sunday?  May I also get a reference number?
system: Your booking was successful and reference number is Q1P81Y9Z. Can I assist you with anything else?
user: No thanks, that is all.
system: Thank you, if you need anything else let me know.Good Bye."
28,28,28,"You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking. The hotel doesn't need to include internet and should have a star of 3. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 3 people and 3 nights starting from monday. Make sure you get the reference number","You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking. The hotel doesn't need to include internet and should have a star of 3. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 3 people and 3 nights starting from monday. Make sure you get the reference number","user: Hi there, I'd love to find a guesthouse with free parking. 
system: I have 21 guesthouses is there an area you are looking for or a price range you would like to be in?
user: Well I would like something with 3 stars. I don't care about the internet. 
system: bridge guest house	has good reviews if you'd like that
user: That sounds interesting. Do they happen to have free wifi?
system: They do! Would you like to reserve a room?
user: I really would like it to have a 3 star rating. If Bridge Guest House does, then yes, please make a reservation for 3 people arriving on Monday.
system: The Bridge Guest House is rated 3 stars, and has free wifi and parking. Before I can make a reservation, I need to know how many nights you will be staying.
user: Please make a reservation for 3 nights.
system: No problem.  Your reference number is VQLMM8NQ.  Anything else?
user: No, that's all I need today. Thanks for your help!
system: You're quite welcome. Thanks for contacting the Cambridge TownInfo Centre and have a great day!"
