,dia_no,turn_no,context,response,dia
14,2,4,"user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: Could you try Wednesday, instead?
system: Booking was successful. Reference number is : 3H0WHD4Z.","user: Great, can you confirm that my booking for the Autumn House is for 8 people, 2 nights, starting from Wednesday, and the reference number is 3H0WHD4Z?","user: I am looking for a particular hotel. Its name is called autumn house
system: I have the Autumn House.  It is at 710 Newmarket Road.  Would you like the phone number?
user: No thanks. Would you book the Autumn House for me starting on Monday, please.
system: How many people would be staying and how many days will you be staying?
user: That's for 8 people and it's for 2 nights.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: Could you try Wednesday, instead?
system: Booking was successful. Reference number is : 3H0WHD4Z.
user: Great, can you confirm that my booking for the Autumn House is for 8 people, 2 nights, starting from Wednesday, and the reference number is 3H0WHD4Z?"
15,3,0,,user: Can you please recommend a 3-star hotel with free parking in the city centre that can accommodate 6 people for 4 nights starting from Saturday?,user: Can you please recommend a 3-star hotel with free parking in the city centre that can accommodate 6 people for 4 nights starting from Saturday?
16,3,1,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? ","user: I'm looking for a 3-star hotel with free parking, can you narrow down the options for me?","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: I'm looking for a 3-star hotel with free parking, can you narrow down the options for me?"
17,3,2,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? ","user: Can you please provide more details about the Gonville hotel, as it meets my initial requirements, and I'd like to book a room for 6 people for 4 nights starting from Saturday.","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Can you please provide more details about the Gonville hotel, as it meets my initial requirements, and I'd like to book a room for 6 people for 4 nights starting from Saturday."
18,3,3,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?","user: What about booking a room for 2 nights instead, would that be available for 6 people starting on Saturday?","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: What about booking a room for 2 nights instead, would that be available for 6 people starting on Saturday?"
19,3,4,"user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: Yes, what about 2 nights instead of 4?
system: Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?","user: Thank you, I've got the reference number RU89U6V8, just to confirm, that's for 2 nights at the Gonville Hotel starting from Saturday for 6 people, correct?","user: I'm looking for a hotel to stay at in the centre, can you look this up for me?
system: There are three hotels in the center of town. Do you prefer something moderate or expensive? 
user: Not in terms of that, but do they have free parking and have a 3 star rating?
system: The Gonville hotel has 3 stars and parking, and the University Arms hotel has 4 stars and parking. They are both expensive. Would you like more details? 
user: Okay, I'd like to book a room at the Gonville Hotel for 4 nights. There will be 6 people and we will be arriving on Saturday. 
system: I'm sorry, there are no rooms available for that length of stay.  Could you shorten your stay or book a different day possibly?
user: Yes, what about 2 nights instead of 4?
system: Sure, that worked.  You have booked 2 nights and your reference number is RU89U6V8.  Can I be of further help today?
user: Thank you, I've got the reference number RU89U6V8, just to confirm, that's for 2 nights at the Gonville Hotel starting from Saturday for 6 people, correct?"
20,4,0,,"user: Do you have any 4-star hotels in the north that don't offer internet, and if not, can you suggest some with free wifi?","user: Do you have any 4-star hotels in the north that don't offer internet, and if not, can you suggest some with free wifi?"
21,4,1,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? ","user: No, I don't need free parking, but I do need a hotel with at least 4 stars and preferably one that doesn't offer internet or if not possible, one that offers free WiFi.","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: No, I don't need free parking, but I do need a hotel with at least 4 stars and preferably one that doesn't offer internet or if not possible, one that offers free WiFi."
22,4,2,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.",user: Does Acorn Guest House have a 4-star rating and can I book it for 6 people for 4 nights starting from Thursday?,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: Does Acorn Guest House have a 4-star rating and can I book it for 6 people for 4 nights starting from Thursday?"
23,4,3,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,","user: Is the Acorn Guest House available for 6 people for 4 nights starting from Thursday, and can I get a reference number once it's booked?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Is the Acorn Guest House available for 6 people for 4 nights starting from Thursday, and can I get a reference number once it's booked?"
24,4,4,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?","user: Yes, I'd like to book the Acorn Guest House for 6 people, for 4 nights, starting from Thursday, and can you please give me the reference number?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, I'd like to book the Acorn Guest House for 6 people, for 4 nights, starting from Thursday, and can you please give me the reference number?"
25,4,5,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.","user: Can I get a reference number for the booking, please?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: Can I get a reference number for the booking, please?"
26,4,6,"user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: OK, can you please pay attention to my questions? I need a room, please.
system: Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?","user: Yes, can you confirm that the reference number ZUC5SZAP is correct and the booking is for 6 people?","user: Hello, I am looking for a four star hotel on the north side
system: I have eight results. Do you need free parking? 
user: Not really, and I'm not really concerned with wifi either. Which one do you recommend?
system: How about Acorn Guest House? It's located at 154 Chesterton Road.
user: What is the hotel's rating?
system: It is rated 4 stars,
user: Actually, could you double check whether the Acorn has free wifi? 
system: Yes, it does. Would you like me to make a reservation for you?
user: Yes, please do. I'll be arriving Thursday. They'll be 6 of us, and we'd like to stay for 4 nights. 
system: Yes, it does.
user: OK, can you please pay attention to my questions? I need a room, please.
system: Sorry about that! You are booked at the Acorn for 4 nights, starting Thursday ref #ZUC5SZAP. Can I be of any further assistance today?
user: Yes, can you confirm that the reference number ZUC5SZAP is correct and the booking is for 6 people?"
27,5,0,,"user: Can I please get the availability and booking details for the Cambridge Belfry hotel for 4 people, 2 nights, starting from this Saturday, and also provide a reference number for my booking?","user: Can I please get the availability and booking details for the Cambridge Belfry hotel for 4 people, 2 nights, starting from this Saturday, and also provide a reference number for my booking?"
28,5,1,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.","user: Can I book a room for 4 people for 2 nights starting from this Saturday, and could you also provide me with a reference number for the booking?","user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Can I book a room for 4 people for 2 nights starting from this Saturday, and could you also provide me with a reference number for the booking?"
29,5,2,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?","user: I'd like to book it for 4 people for 2 nights, starting from this Saturday.","user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I'd like to book it for 4 people for 2 nights, starting from this Saturday."
30,5,3,"user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to check in on Saturday for 2 nights.  There will be 4 of us.
system: Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?","user: Great, I just need to confirm that the booking is for 4 people, 2 nights starting from Saturday, and can you please repeat the reference number?","user: Could you help me find the Cambridge Belfry?
system: The Cambridge Belfry is a cheap hotel. The address is Back Lane, Cambourne and the phone number is cb236bw.
user: Thank you. Can you book it for me?
system: Of course. When would you like to stay?
user: I would like to check in on Saturday for 2 nights.  There will be 4 of us.
system: Your reservation was successfully made. The reference number is PJ9D98BY. Can I help you with anything else?
user: Great, I just need to confirm that the booking is for 4 people, 2 nights starting from Saturday, and can you please repeat the reference number?"
31,6,0,,user: Can you please provide me with the address and postcode of Worth House hotel so I can book my stay?,user: Can you please provide me with the address and postcode of Worth House hotel so I can book my stay?
32,6,1,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.","user: Can I get more information on the parking facilities, is it free or do they charge extra for it?","user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Can I get more information on the parking facilities, is it free or do they charge extra for it?"
33,6,2,"user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Thank you so much!
system: You're welcome. Can I make a reservation for you?","user: Yes, I'd like to book a room for two nights starting from this Friday, can you please confirm the availability?","user: Hi I am looking for some info on the Worth House hotel.
system: The worth house hotel is a cheap 4 star guesthouse in the north. It provides parking and internet. The address is 152 chesterton road postcode cb41da. The phone number is 01223316074.
user: Thank you so much!
system: You're welcome. Can I make a reservation for you?
user: Yes, I'd like to book a room for two nights starting from this Friday, can you please confirm the availability?"
34,7,0,,"user: Can you please help me find Rosa's Bed and Breakfast and book a room for 7 people for 3 nights starting from Saturday, and if that's not available, suggest an alternative hotel in the same price range?","user: Can you please help me find Rosa's Bed and Breakfast and book a room for 7 people for 3 nights starting from Saturday, and if that's not available, suggest an alternative hotel in the same price range?"
35,7,1,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.","user: Can I book a room for 7 people at Rosa's Bed and Breakfast for 3 nights starting from this Saturday, and can you please provide me with a reference number for my booking?","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Can I book a room for 7 people at Rosa's Bed and Breakfast for 3 nights starting from this Saturday, and can you please provide me with a reference number for my booking?"
36,7,2,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?","user: Yes, please suggest another hotel in the same price range as Rosa's, and can you check the availability for 7 people and 3 nights starting from Saturday?","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, please suggest another hotel in the same price range as Rosa's, and can you check the availability for 7 people and 3 nights starting from Saturday?"
37,7,3,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?","user: Yes, that's okay, what are some cheap options in a different area that can accommodate 7 people for 3 nights starting from Saturday?","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Yes, that's okay, what are some cheap options in a different area that can accommodate 7 people for 3 nights starting from Saturday?"
38,7,4,"user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Just please can you find a place in the same price range. I'll need a reference number please.
system: Alexander bed and breakfast was able to be booked, reference number is A36615HD.","user: Great, can you tell me more about Alexander bed and breakfast, such as its location and rating?","user: I would like to know more about Rosa's b&b
system: Sure Rosa's is located on the south side of town, is in the cheap price range and is rated 4 stars.
user: Okay great. Can you book me a room for 7 people and 3 nights starting from saturday?
system: I'm sorry Rosa's does not have rooms available for those days.  Would you like to try a different hotel?
user: Yes, do you have a different cheap hotel available?
system: I have none in the same area, would a different are be okay?
user: Just please can you find a place in the same price range. I'll need a reference number please.
system: Alexander bed and breakfast was able to be booked, reference number is A36615HD.
user: Great, can you tell me more about Alexander bed and breakfast, such as its location and rating?"
39,8,0,,"user: Can you recommend a luxurious hotel in the city centre that fits my budget and preferences, and help me book a room for 5 people for 3 nights starting Saturday, and also provide a reference number for my booking?","user: Can you recommend a luxurious hotel in the city centre that fits my budget and preferences, and help me book a room for 5 people for 3 nights starting Saturday, and also provide a reference number for my booking?"
40,8,1,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?","user: I'm looking for a 4-star hotel, can you give me some options in the town centre that fit my budget?","user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: I'm looking for a 4-star hotel, can you give me some options in the town centre that fit my budget?"
41,8,2,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?","user: Does the Gonville Hotel have rooms available for 5 people for 3 nights starting from Saturday, and can I get a reference number for the booking?","user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?
user: Does the Gonville Hotel have rooms available for 5 people for 3 nights starting from Saturday, and can I get a reference number for the booking?"
42,8,3,"user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?
user: Yes, that sounds good.  Could you reserve a room for 5 people checking in on Saturday?  I think we'll stay for 3 nights.
system: Booking was successful. Reference number is : KRJNYV0Q.","user: Great, can you confirm that the booking is for the Gonville Hotel, 3 nights starting from this Saturday, and for 5 people, with the reference number KRJNYV0Q?","user: Good afternoon, can you help me find an expensive place to stay in the town centre?
system: I sure can.  I found a 3 star hotel and a 4 star hotel.  Do you have a preference?
user: It should be a hotel type hotel not a guesthouse
system: How about the Gonville Hotel located in the centre of town is in the expensive price range?
user: Yes, that sounds good.  Could you reserve a room for 5 people checking in on Saturday?  I think we'll stay for 3 nights.
system: Booking was successful. Reference number is : KRJNYV0Q.
user: Great, can you confirm that the booking is for the Gonville Hotel, 3 nights starting from this Saturday, and for 5 people, with the reference number KRJNYV0Q?"
